iter	Passed	Remaining
0	158	158571
1	163	81345
2	168	55940
3	173	43142
4	177	35326
5	181	30086
6	184	26157
7	187	23205
8	189	20819
9	190	18896
10	192	17333
11	194	15996
12	196	14886
13	197	13922
14	199	13070
15	200	12311
16	201	11642
17	202	11044
18	203	10511
19	204	10027
20	205	9581
21	206	9179
22	207	8816
23	208	8492
24	210	8200
25	211	7922
26	212	7650
27	213	7398
28	213	7163
29	214	6944
30	215	6740
31	216	6546
32	217	6362
33	217	6190
34	218	6028
35	219	5875
36	220	5729
37	220	5592
38	221	5463
39	222	5339
40	223	5232
41	225	5134
42	226	5036
43	227	4934
44	227	4835
45	228	4740
46	229	4650
47	230	4563
48	230	4479
49	231	4399
50	232	4323
51	233	4249
52	233	4179
53	234	4112
54	235	4046
55	236	3981
56	237	3922
57	238	3867
58	239	3819
59	240	3774
60	242	3736
61	243	3690
62	244	3640
63	245	3591
64	246	3542
65	247	3496
66	247	3451
67	248	3408
68	249	3365
69	250	3323
70	251	3286
71	252	3256
72	254	3226
73	255	3203
74	257	3178
75	258	3142
76	259	3107
77	259	3072
78	260	3038
79	261	3006
80	262	2974
81	262	2943
82	263	2908
83	264	2879
84	264	2851
85	265	2825
86	267	2802
87	268	2780
88	269	2754
89	269	2728
90	270	2702
91	271	2677
92	272	2652
93	272	2629
94	273	2605
95	274	2581
96	274	2559
97	275	2536
98	276	2514
99	277	2494
100	277	2473
101	278	2453
102	279	2436
103	280	2418
104	282	2404
105	282	2385
106	283	2367
107	284	2349
108	285	2331
109	285	2313
110	286	2296
111	287	2279
112	288	2262
113	288	2245
114	289	2229
115	290	2213
116	291	2196
117	291	2181
118	292	2166
119	293	2153
120	294	2140
121	295	2125
122	296	2111
123	296	2097
124	297	2084
125	298	2072
126	299	2057
127	300	2044
128	300	2032
129	301	2019
130	302	2006
131	303	1994
132	304	1981
133	304	1970
134	305	1958
135	306	1947
136	307	1937
137	308	1927
138	309	1916
139	310	1905
140	311	1895
141	311	1882
142	312	1872
143	313	1861
144	313	1851
145	314	1841
146	315	1830
147	316	1820
148	316	1810
149	317	1801
150	318	1791
151	319	1782
152	320	1772
153	320	1763
154	321	1754
155	323	1747
156	324	1740
157	324	1731
158	325	1722
159	326	1713
160	326	1703
161	327	1695
162	328	1686
163	329	1678
164	329	1669
165	330	1661
166	331	1653
167	332	1645
168	333	1637
169	333	1629
170	334	1621
171	335	1614
172	336	1607
173	337	1601
174	338	1596
175	339	1589
176	340	1581
177	340	1574
178	341	1567
179	342	1560
180	343	1553
181	344	1547
182	344	1540
183	345	1533
184	346	1526
185	347	1519
186	347	1512
187	348	1505
188	349	1499
189	350	1494
190	351	1489
191	352	1483
192	353	1477
193	354	1470
194	354	1464
195	355	1458
196	356	1452
197	356	1446
198	357	1439
199	358	1433
200	359	1428
201	360	1422
202	360	1416
203	361	1410
204	362	1404
205	362	1399
206	363	1393
207	364	1388
208	365	1384
209	366	1380
210	367	1375
211	368	1369
212	369	1364
213	370	1359
214	370	1354
215	371	1348
216	372	1344
217	373	1338
218	374	1334
219	374	1329
220	375	1323
221	376	1318
222	377	1313
223	377	1309
224	378	1304
225	379	1301
226	381	1297
227	381	1292
228	382	1288
229	383	1283
230	384	1278
231	384	1273
232	385	1269
233	386	1264
234	387	1260
235	387	1255
236	388	1251
237	389	1246
238	390	1241
239	390	1237
240	391	1232
241	392	1228
242	393	1225
243	394	1221
244	395	1218
245	396	1213
246	396	1209
247	397	1205
248	398	1201
249	399	1197
250	399	1193
251	400	1189
252	401	1185
253	402	1180
254	402	1176
255	403	1172
256	404	1168
